#{"t_start": 1769626260.6737313, "env_id": "LunarLander-v3"}
r,l,t
235.628865,182,19.145092
280.603709,222,21.049699
279.168883,196,22.567389
299.308235,239,24.724383
279.357281,216,26.468782
307.303573,254,28.373515
304.548997,218,30.013597
-20.145267,109,30.825897
277.309535,247,32.655331
278.103886,193,34.245686
268.973025,230,36.021851
291.198189,199,37.59126
242.186421,195,39.12621
235.714359,195,40.706698
298.842643,254,42.653463
286.208005,284,44.902044
77.682803,212,46.535944
304.572825,231,48.376904
285.367875,174,49.838748
291.563309,209,51.484371
255.861432,193,53.003648
